"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar varios productos","compra de varios productos","ERROR","2023-06-26T22:08:40.3581703-05:00[America/Bogota]","0.0","6.53"
"Comprar varios productos","compra de varios productos","ERROR","2023-06-26T22:28:57.2997573-05:00[America/Bogota]","0.0","25.33"
